eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
619470621894,fec-parity,pending,1429,1,H.264,0,1,21,13,8,5,1,1,3,12,0,0,0,0,41014,8,0,0,0,0,0,0,619470680923,59.029,619470540923,80.971,6.299,0,1,0,1,1,0,0,0,0,619470540923,619470559528,62.366
619470621894,nack-sent,pending,1429,1,H.264,0,1,21,13,8,5,1,2,3,20,0,0,0,0,41014,8,0,0,0,0,0,0,619470680923,59.029,619470621894,0,80.971,0,1,1,0,1,0,0,0,0,619470540923,619470559528,62.366
619470622343,fec-recovered,pending,1429,1,H.264,0,1,21,15,6,5,2,2,4,20,0,0,0,0,41021,15,0,0,0,0,0,0,619470680923,58.58,619470622343,0,0.449,0,1,1,1,1,0,0,0,0,619470540923,619470559528,62.815
619470629003,fec-recovered,pending,1429,1,H.264,0,1,21,17,4,5,3,2,5,20,0,0,0,0,41012,6,0,0,0,0,0,0,619470680923,51.92,619470629003,0,6.66,0,1,1,1,1,0,0,0,0,619470540923,619470559528,69.475
619470629231,fec-recovered,pending,1429,1,H.264,0,1,21,19,2,5,4,2,6,20,0,0,0,0,41016,10,0,0,0,0,0,0,619470680923,51.692,619470629231,0,0.228,0,1,1,1,1,0,0,0,0,619470540923,619470559528,69.703
619470632893,nack-sent,pending,1430,1,H.264,0,1,21,10,11,1,1,1,0,11,0,0,0,0,41035,3,0,0,0,0,0,0,619470726882,93.989,619470629388,3.505,14.119,0,1,1,0,1,0,0,0,0,619470586882,619470591145,41.748
619470636278,fec-parity,pending,1431,1,H.264,1,1,21,0,21,1,0,0,0,0,0,0,0,0,41082,12,0,0,0,0,0,0,0,0,619470624216,12.062,0,0,0,0,0,1,0,0,0,0,619470624216,619470636278,0
619470643966,nack-suppressed-fec-grace,pending,1429,1,H.264,0,1,21,19,2,5,4,2,6,20,0,0,0,0,41017,11,0,0,0,0,0,0,619470680923,36.957,619470629231,14.735,0.228,0,1,0,1,1,0,0,0,0,619470540923,619470559528,84.438
619470644240,fec-recovered,pending,1429,1,H.264,0,1,21,21,0,5,5,2,7,20,0,0,0,0,41008,2,0,0,0,0,0,0,619470680923,36.683,619470644240,0,15.009,0,1,1,0,1,0,0,0,0,619470540923,619470559528,84.712
619470644240,completed,completed,1429,1,H.264,0,1,21,21,0,5,5,2,7,20,0,0,0,0,41008,2,0,0,0,0,0,0,619470680923,36.683,619470644240,0,15.009,0,1,1,0,1,0,0,0,0,619470540923,619470559528,84.712
